Player,3PA,3P
Aaron Gordon,112,42
Aaron Holiday,121,40
Aaron Nesmith,58,20
Al Horford,152,56
Alec Burks,158,63
Aleksej Pokusevski,97,23
Alex Caruso,80,31
Andre Iguodala,126,43
Andrew Wiggins,234,92
Anfernee Simons,183,78
Anthony Davis,58,17
Anthony Edwards,305,96
Aron Baynes,81,20
Austin Rivers,77,28
Ben McLemore,156,51
Blake Griffin,128,42
Bobby Portis,102,49
Bogdan Bogdanovic,118,40
Bojan Bogdanovic,282,108
Brad Wanamaker,61,13
Bradley Beal,262,87
Brandon Clarke,55,18
Brandon Goodwin,55,15
Brandon Ingram,279,107
Brook Lopez,198,66
Bryn Forbes,202,92
Buddy Hield,472,181
CJ McCollum,211,87
Caleb Martin,63,20
Cam Reddish,126,33
Cameron Johnson,206,79
Cameron Payne,79,33
Caris LeVert,113,39
Carmelo Anthony,204,79
Cedi Osman,251,77
Chris Boucher,165,68
Chris Paul,160,59
Christian Wood,103,39
Chuma Okeke,74,30
Coby White,277,97
Cole Anthony,83,27
Collin Sexton,169,66
Cory Joseph,95,31
D'Angelo Russell,148,59
D.J. Augustin,143,53
Damian Lillard,482,181
Damion Lee,161,62
Damyean Dotson,110,30
Daniel Theis,95,33
Danilo Gallinari,171,69
Danny Green,284,114
Danuel House Jr.,125,45
Dario Saric,82,28
Darius Bazley,186,54
Darius Garland,161,64
David Nwaba,63,17
Davis Bertans,254,97
De'Aaron Fox,242,81
De'Andre Hunter,87,31
De'Anthony Melton,113,48
DeMar DeRozan,59,18
DeMarcus Cousins,116,39
Dean Wade,87,33
Dejounte Murray,125,39
Delon Wright,89,31
Deni Avdija,116,38
Dennis Schroder,129,41
Dennis Smith Jr.,52,17
Denzel Valentine,169,57
Derrick Jones Jr.,112,37
Derrick Rose,61,23
Derrick White,104,34
Desmond Bane,146,66
Devin Booker,228,80
Devin Vassell,82,34
Devonte' Graham,265,100
Dillon Brooks,224,72
Domantas Sabonis,114,35
Donovan Mitchell,364,142
Donte DiVincenzo,226,87
Dorian Finney-Smith,150,52
Doug McDermott,193,73
Draymond Green,74,18
Duncan Robinson,389,153
Dwayne Bacon,135,45
Dylan Windler,78,26
Elfrid Payton,66,16
Eric Bledsoe,203,74
Eric Gordon,210,69
Eric Paschall,50,16
Evan Fournier,188,73
Facundo Campazzo,110,38
Frank Kaminsky,64,26
Fred VanVleet,363,137
Furkan Korkmaz,159,59
Gabe Vincent,110,32
Garrett Temple,134,46
Garrison Mathews,129,54
Gary Clark,108,31
Gary Harris,75,24
Gary Trent Jr.,310,121
George Hill,57,22
Georges Niang,141,54
Giannis Antetokounmpo,160,48
Goran Dragic,129,45
Gordon Hayward,190,79
Grant Williams,75,32
Grayson Allen,155,64
Harrison Barnes,175,62
Immanuel Quickley,205,77
Isaac Okoro,111,34
