Player,3P,3PA,GMMlabel
Damian Lillard,181,482,1
Buddy Hield,181,472,1
Stephen Curry,182,446,1
Duncan Robinson,153,389,2
Jordan Clarkson,133,376,1
Donovan Mitchell,142,364,1
Fred VanVleet,137,363,0
Zach LaVine,152,348,1
Terry Rozier,140,334,1
Tim Hardaway Jr.,125,319,2
James Harden,113,315,1
Luka Doncic,114,311,1
Gary Trent Jr.,121,310,2
Joe Harris,150,308,2
Anthony Edwards,96,305,1
Lonzo Ball,114,296,0
Trae Young,104,290,1
Justin Holiday,114,290,2
Nikola Vucevic,117,288,1
Malik Beasley,116,286,1
Danny Green,114,284,2
Bojan Bogdanovic,108,282,2
Jamal Murray,116,281,1
Patty Mills,110,280,1
Brandon Ingram,107,279,1
Jayson Tatum,106,278,1
Coby White,97,277,1
Norman Powell,123,276,1
Jaylen Brown,109,275,1
Malcolm Brogdon,112,275,1
